V1	V2
4	JP1_CRS273.fastq
8	JP1_CRS253.fastq
8	JP1_CRS315.fastq
16	JP1_TEV001.fastq
44	JP1_TEV007.fastq
176	JP1_TEV009.fastq
380	JP1_CRS219.fastq
876	JP1_TEV021.fastq
1244	JP1_CRS285.fastq
1640	JP1_CRS211.fastq
2364	JP1_CRS288.fastq
2880	JP1_CRS277.fastq
3212	JP1_CRS281.fastq
3720	JP1_CRS319.fastq
6448	JP1_CRS215.fastq
7376	JP1_CRS257.fastq
10792	JP1_CRS234.fastq
40632	JP1_CRS230.fastq
87252	JP1_CRS223.fastq
164088	JP1_TEV030.fastq
269676	JP1_TEV012.fastq
299332	JP1_CRS227.fastq
336396	JP1_TEV013.fastq
341376	JP1_TEV024.fastq
435676	JP1_CRS242.fastq
461964	JP1_TEV026.fastq
549436	JP1_TEV028.fastq
856056	JP2_MI199.fastq
902292	JP1_TEV017.fastq
906404	JP2_MI106.fastq
922304	JP1_TEV010.fastq
960340	JP1_TEV029.fastq
971972	JP1_TEV027.fastq
975764	JP1_TEV025.fastq
1005724	JP2_MI178.fastq
1010372	JP1_TEV003.fastq
1083212	JP1_TEV002.fastq
1095896	JP2_MI049.fastq
1208384	JP1_TEV015.fastq
1264120	JP1_TEV005.fastq
1268720	JP1_TEV020.fastq
1286464	JP2_MI118.fastq
1294888	JP1_TEV011.fastq
1319292	JP2_MI218.fastq
1349688	JP2_MI053.fastq
1379188	JP1_TEV006.fastq
1439840	JP2_MI204.fastq
1441164	JP1_TEV019.fastq
1703672	JP2_MI142.fastq
1801480	JP2_MI147.fastq
1807412	JP2_MI096.fastq
1836844	JP2_MI018.fastq
1860732	JP2_MI133.fastq
1866536	JP2_MI081.fastq
1889436	JP1_TEV004.fastq
1959592	JP2_MI088.fastq
1968004	JP2_MI148.fastq
2006716	JP2_MI201.fastq
2062248	JP2_MI057.fastq
2101540	JP2_MI087.fastq
2136428	JP2_MI126.fastq
2142076	JP2_MI007.fastq
2188000	JP2_MI048.fastq
2266172	JP2_MI101.fastq
2293632	JP2_MI117.fastq
2362880	JP2_MI109.fastq
2380500	JP1_TEV023.fastq
2464336	JP2_MI028.fastq
2468932	JP2_MI009.fastq
2474288	JP2_MI098.fastq
2520944	JP2_MI155.fastq
2608932	JP2_MI119.fastq
2622220	JP2_MI177.fastq
2633172	JP2_MI143.fastq
2650180	JP2_MI024.fastq
2746932	JP2_MI032.fastq
2746976	JP2_MI110.fastq
2747880	JP2_MI074.fastq
2792220	JP2_MI026.fastq
2807996	JP2_MI090.fastq
2824220	JP2_MI005.fastq
2831444	JP2_MI097.fastq
2999812	JP2_MI073.fastq
3058848	JP2_MI116.fastq
3080832	JP2_MI153.fastq
3293664	JP2_MI149.fastq
3293940	JP2_MI075.fastq
3357936	JP2_MI023.fastq
3461728	JP2_MI091.fastq
3688684	JP2_MI040.fastq
3695796	JP2_MI151.fastq
3717428	JP2_MI010.fastq
3779280	JP2_MI197.fastq
3848128	JP2_MI027.fastq
3899156	JP2_MI188.fastq
3978388	JP2_MI016.fastq
4065184	JP2_MI080.fastq
4072504	JP2_MI078.fastq
4087636	JP2_MI036.fastq
4155980	JP2_MI213.fastq
4240916	JP2_MI103.fastq
4567720	JP2_MI082.fastq
4611844	JP2_MI165.fastq
4649844	JP2_MI085.fastq
4751844	JP2_MI104.fastq
4787216	JP2_MI193.fastq
4934988	JP2_MI182.fastq
5071524	JP2_MI140.fastq
5615804	JP2_MI160.fastq
5800512	JP2_MI162.fastq
5818240	JP2_MI060.fastq
6717552	JP2_MI129.fastq
6823092	JP2_MI046.fastq
6953656	JP2_MI108.fastq
6974956	JP2_MI208.fastq
7975668	JP2_MI214.fastq
10248604	JP2_MI052.fastq
11878904	JP2_MI123.fastq
