V1	V2
4	JP1_CRS253.fastq
4	JP1_CRS273.fastq
8	JP1_CRS315.fastq
16	JP1_TEV001.fastq
36	JP1_TEV007.fastq
92	JP1_TEV009.fastq
296	JP1_CRS219.fastq
516	JP1_CRS288.fastq
780	JP1_TEV021.fastq
1084	JP1_CRS285.fastq
1360	JP1_CRS211.fastq
1584	JP1_CRS257.fastq
2444	JP1_CRS277.fastq
2708	JP1_CRS281.fastq
2824	JP1_CRS319.fastq
5344	JP1_CRS215.fastq
9680	JP1_CRS234.fastq
37252	JP1_CRS230.fastq
78896	JP1_CRS223.fastq
126508	JP2_MI106.fastq
149808	JP1_TEV030.fastq
151384	JP2_MI142.fastq
233288	JP1_TEV012.fastq
267624	JP1_CRS227.fastq
288756	JP1_TEV024.fastq
294612	JP1_TEV013.fastq
303588	JP1_CRS242.fastq
340736	JP2_MI057.fastq
342448	JP2_MI028.fastq
342816	JP2_MI048.fastq
345732	JP2_MI049.fastq
349668	JP2_MI026.fastq
371300	JP2_MI118.fastq
424268	JP1_TEV026.fastq
459152	JP2_MI116.fastq
464952	JP1_TEV028.fastq
468912	JP2_MI123.fastq
473084	JP2_MI036.fastq
499604	JP2_MI101.fastq
527232	JP2_MI213.fastq
556908	JP2_MI197.fastq
581512	JP2_MI178.fastq
591720	JP2_MI053.fastq
633680	JP2_MI009.fastq
639780	JP2_MI133.fastq
650260	JP2_MI074.fastq
657532	JP2_MI078.fastq
683048	JP2_MI204.fastq
689456	JP2_MI007.fastq
723852	JP2_MI177.fastq
727452	JP2_MI199.fastq
766772	JP1_TEV017.fastq
782244	JP2_MI147.fastq
796320	JP1_TEV010.fastq
807504	JP2_MI193.fastq
818212	JP1_TEV029.fastq
834660	JP1_TEV003.fastq
848508	JP1_TEV027.fastq
853228	JP1_TEV025.fastq
853932	JP2_MI040.fastq
860388	JP2_MI208.fastq
909768	JP2_MI097.fastq
914252	JP2_MI075.fastq
915844	JP2_MI032.fastq
920152	JP2_MI080.fastq
938916	JP2_MI218.fastq
939556	JP1_TEV002.fastq
943248	JP2_MI027.fastq
973392	JP2_MI024.fastq
976840	JP2_MI098.fastq
996016	JP2_MI081.fastq
999360	JP2_MI149.fastq
1021872	JP2_MI165.fastq
1038932	JP2_MI073.fastq
1040764	JP2_MI018.fastq
1043056	JP1_TEV015.fastq
1044596	JP2_MI005.fastq
1056884	JP1_TEV005.fastq
1060696	JP2_MI091.fastq
1071128	JP1_TEV020.fastq
1101508	JP1_TEV011.fastq
1112088	JP2_MI108.fastq
1124492	JP2_MI016.fastq
1133336	JP2_MI104.fastq
1165304	JP2_MI096.fastq
1169332	JP2_MI087.fastq
1183136	JP2_MI085.fastq
1216356	JP2_MI148.fastq
1223524	JP2_MI126.fastq
1228524	JP1_TEV006.fastq
1256024	JP2_MI143.fastq
1257688	JP2_MI010.fastq
1264796	JP2_MI109.fastq
1312452	JP1_TEV019.fastq
1383120	JP2_MI201.fastq
1423592	JP2_MI110.fastq
1441356	JP2_MI090.fastq
1543736	JP2_MI119.fastq
1559028	JP2_MI088.fastq
1570852	JP2_MI162.fastq
1607968	JP2_MI023.fastq
1689308	JP1_TEV004.fastq
1694776	JP2_MI103.fastq
1729696	JP2_MI155.fastq
1742600	JP2_MI117.fastq
1755376	JP2_MI188.fastq
1917116	JP2_MI153.fastq
2093012	JP2_MI046.fastq
2205400	JP1_TEV023.fastq
2274072	JP2_MI151.fastq
2795872	JP2_MI082.fastq
2957944	JP2_MI052.fastq
3133472	JP2_MI060.fastq
3320648	JP2_MI129.fastq
3490940	JP2_MI182.fastq
3515548	JP2_MI214.fastq
3834184	JP2_MI140.fastq
3893272	JP2_MI160.fastq
